"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
7030,2021-01-13,66,11,2610,4,4,4,444
7048,2021-01-20,59,9,2271,4,4,4,444
7054,2021-01-21,58,8,5611,4,4,4,444
7062,2021-02-27,21,8,3097,4,4,4,444
7103,2021-01-27,52,9,1953,4,4,4,444
7185,2021-02-04,44,8,2702,4,4,4,444
7198,2021-01-06,73,11,3111,4,4,4,444
7199,2021-02-16,32,8,2609,4,4,4,444
7209,2021-02-01,47,12,5319,4,4,4,444
7251,2021-02-15,33,8,3263,4,4,4,444
7360,2021-02-02,46,8,1954,4,4,4,444
7375,2021-01-23,56,10,1866,4,4,4,444
7457,2021-02-14,34,14,5568,4,4,4,444
7466,2021-02-03,45,8,3189,4,4,4,444
7468,2021-01-07,72,9,3157,4,4,4,444
7484,2021-02-21,27,9,3998,4,4,4,444
7493,2021-01-07,72,9,3045,4,4,4,444
7532,2021-02-20,28,9,3935,4,4,4,444
7543,2021-01-30,49,12,1859,4,4,4,444
7552,2021-02-23,25,12,3846,4,4,4,444
7553,2021-02-03,45,8,5722,4,4,4,444
7633,2021-02-02,46,10,1862,4,4,4,444
7644,2021-02-22,26,12,3445,4,4,4,444
7663,2021-01-21,58,8,3141,4,4,4,444
7778,2021-01-29,50,10,1882,4,4,4,444
7783,2021-01-16,63,9,2033,4,4,4,444
7795,2021-01-19,60,8,2514,4,4,4,444
7831,2021-02-28,20,9,5081,4,4,4,444
7859,2021-01-07,72,18,4360,4,4,4,444
7863,2021-02-10,38,9,2142,4,4,4,444
7903,2021-01-25,54,8,2894,4,4,4,444
7939,2021-01-25,54,14,5336,4,4,4,444
8007,2021-02-08,40,8,2495,4,4,4,444
8032,2021-01-09,70,8,1981,4,4,4,444
8053,2021-02-18,30,8,2144,4,4,4,444
8056,2021-01-31,48,10,2134,4,4,4,444
8089,2021-02-13,35,9,2058,4,4,4,444
8093,2021-02-22,26,8,3722,4,4,4,444
8114,2021-02-08,40,9,3870,4,4,4,444
8128,2021-01-13,66,8,2731,4,4,4,444
8149,2021-02-23,25,11,5648,4,4,4,444
8158,2021-01-06,73,11,1833,4,4,4,444
8159,2021-01-30,49,15,2414,4,4,4,444
8177,2021-02-11,37,8,4437,4,4,4,444
8192,2021-01-21,58,13,2195,4,4,4,444
8232,2021-01-16,63,9,2673,4,4,4,444
8236,2021-02-18,30,14,3138,4,4,4,444
8268,2021-02-26,22,12,2841,4,4,4,444
8298,2021-01-08,71,12,1964,4,4,4,444
8305,2021-01-24,55,8,2768,4,4,4,444
8312,2021-02-15,33,9,4538,4,4,4,444
8376,2021-01-28,51,8,3968,4,4,4,444
8396,2021-02-24,24,8,1880,4,4,4,444
8407,2021-02-28,20,8,2096,4,4,4,444
8455,2021-02-27,21,9,2979,4,4,4,444
8476,2021-02-22,26,11,2542,4,4,4,444
8501,2021-02-07,41,9,3168,4,4,4,444
8505,2021-01-21,58,9,2515,4,4,4,444
8544,2021-01-26,53,8,5600,4,4,4,444
8593,2021-02-22,26,9,3983,4,4,4,444
8596,2021-02-02,46,13,4096,4,4,4,444
8608,2021-02-07,41,10,3083,4,4,4,444
8621,2021-01-08,71,8,2170,4,4,4,444
8622,2021-01-22,57,10,2785,4,4,4,444
8679,2021-01-11,68,9,7377,4,4,4,444
8690,2021-01-24,55,11,2056,4,4,4,444
8711,2021-01-13,66,13,5668,4,4,4,444
8716,2021-02-03,45,8,2424,4,4,4,444
8721,2021-01-10,69,11,3232,4,4,4,444
8725,2021-02-10,38,9,1974,4,4,4,444
8748,2021-02-23,25,8,2187,4,4,4,444
8778,2021-01-07,72,11,3635,4,4,4,444
8819,2021-02-21,27,9,3402,4,4,4,444
8862,2021-01-28,51,10,2003,4,4,4,444
8871,2021-02-07,41,10,4138,4,4,4,444
8874,2021-02-08,40,10,2833,4,4,4,444
8926,2021-01-19,60,15,2813,4,4,4,444
8962,2021-02-23,25,8,4006,4,4,4,444
8971,2021-01-26,53,8,2338,4,4,4,444
8974,2021-01-30,49,9,3780,4,4,4,444
9014,2021-01-21,58,10,3394,4,4,4,444
9036,2021-02-06,42,10,3382,4,4,4,444
9045,2021-02-10,38,8,2722,4,4,4,444
9115,2021-02-05,43,10,2992,4,4,4,444
9124,2021-01-21,58,10,2167,4,4,4,444
9141,2021-01-19,60,11,4215,4,4,4,444
9160,2021-01-17,62,8,1841,4,4,4,444
9163,2021-02-10,38,9,3910,4,4,4,444
9205,2021-01-13,66,10,2303,4,4,4,444
9227,2021-02-25,23,9,2773,4,4,4,444
