"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
2869,2020-06-07,286,8,6627,1,4,4,144
2871,2020-01-12,433,6,1995,1,3,4,134
2901,2020-04-14,340,8,1596,1,4,3,143
2926,2020-09-28,173,8,2709,2,4,4,244
2936,2020-02-13,401,9,1723,1,4,3,143
2946,2020-09-22,179,10,1423,2,4,3,243
2947,2020-07-31,232,9,2568,2,4,4,244
2973,2020-06-07,286,9,3945,1,4,4,144
3029,2020-09-24,177,8,2214,2,4,4,244
3032,2020-08-05,227,8,2229,2,4,4,244
3036,2020-10-12,159,9,1770,2,4,3,243
3039,2020-01-15,430,7,3879,1,3,4,134
3044,2020-03-02,383,8,3336,1,4,4,144
3047,2020-09-29,172,10,1188,2,4,3,243
3051,2020-09-19,182,9,981,2,4,2,242
3063,2020-02-15,399,6,2179,1,3,4,134
3100,2020-09-23,178,9,5570,2,4,4,244
3109,2020-04-27,327,8,2596,1,4,4,144
3129,2020-07-25,238,8,663,2,4,2,242
3146,2020-05-11,313,12,3204,1,4,4,144
3148,2019-11-14,492,7,6690,1,3,4,134
3151,2020-07-29,234,9,1236,2,4,3,243
3163,2020-05-24,300,10,4612,1,4,4,144
3176,2020-01-19,426,8,5009,1,4,4,144
3178,2020-09-18,183,6,1892,2,3,4,234
3194,2020-06-21,272,6,4051,2,3,4,234
3196,2020-06-21,272,7,3811,2,3,4,234
3198,2020-08-19,213,8,1271,2,4,3,243
3229,2019-11-29,477,9,2734,1,4,4,144
3233,2020-08-07,225,6,2329,2,3,4,234
3237,2020-02-28,386,8,2132,1,4,4,144
3277,2020-09-04,197,8,2413,2,4,4,244
3282,2020-09-27,174,7,2712,2,3,4,234
3288,2020-10-05,166,7,2270,2,3,4,234
3307,2020-09-16,185,6,24674,2,3,4,234
3308,2020-05-21,303,7,2351,1,3,4,134
3315,2020-04-09,345,9,1506,1,4,3,143
3319,2020-05-08,316,9,2609,1,4,4,144
3325,2019-04-28,692,6,3302,1,3,4,134
3326,2020-07-10,253,8,4468,2,4,4,244
3327,2020-07-05,258,6,2702,2,3,4,234
3346,2020-08-26,206,7,2221,2,3,4,234
3348,2019-12-25,451,9,2829,1,4,4,144
3352,2020-09-16,185,9,1506,2,4,3,243
3355,2020-10-12,159,8,554,2,4,2,242
3356,2020-09-07,194,8,1718,2,4,3,243
3361,2020-07-28,235,8,1973,2,4,4,244
3385,2019-11-17,489,8,2626,1,4,4,144
3394,2020-09-04,197,8,1208,2,4,3,243
3405,2020-09-07,194,9,5063,2,4,4,244
3409,2020-09-04,197,6,2793,2,3,4,234
3427,2020-09-26,175,7,5233,2,3,4,234
3431,2020-08-24,208,7,4808,2,3,4,234
3434,2020-07-05,258,8,590,2,4,2,242
3443,2020-06-05,288,7,2767,1,3,4,134
3458,2020-09-01,200,12,1216,2,4,3,243
3468,2020-04-25,329,8,1540,1,4,3,143
3508,2020-07-24,239,8,5006,2,4,4,244
3534,2020-06-17,276,12,1953,2,4,4,244
3537,2020-07-10,253,8,3584,2,4,4,244
3551,2020-08-23,209,10,3411,2,4,4,244
3557,2020-04-04,350,10,4910,1,4,4,144
3571,2020-08-07,225,6,2829,2,3,4,234
3586,2020-08-27,205,7,3445,2,3,4,234
3607,2020-05-20,304,9,2134,1,4,4,144
3624,2020-09-03,198,8,1116,2,4,3,243
3632,2020-08-28,204,10,1551,2,4,3,243
3634,2020-10-11,160,8,3419,2,4,4,244
3639,2020-08-09,223,7,3970,2,3,4,234
3641,2020-10-08,163,11,1392,2,4,3,243
3650,2020-08-28,204,6,2006,2,3,4,234
3651,2020-08-25,207,7,3126,2,3,4,234
3656,2020-09-25,176,11,2496,2,4,4,244
3664,2020-05-04,320,9,1411,1,4,3,143
3672,2020-06-22,271,9,893,2,4,2,242
3687,2020-10-08,163,9,10701,2,4,4,244
3697,2020-03-26,359,7,3422,1,3,4,134
3707,2020-09-07,194,8,967,2,4,2,242
3732,2020-05-18,306,9,1450,1,4,3,143
3753,2020-03-30,355,6,3386,1,3,4,134
3755,2020-06-07,286,7,2117,1,3,4,134
3758,2019-07-16,613,7,2276,1,3,4,134
3772,2019-11-25,481,6,1986,1,3,4,134
3773,2020-07-31,232,11,1718,2,4,3,243
3778,2020-06-12,281,11,1950,2,4,4,244
3786,2020-10-09,162,8,2005,2,4,4,244
3800,2020-08-06,226,6,2349,2,3,4,234
3802,2020-09-17,184,8,894,2,4,2,242
3813,2020-08-29,203,8,2850,2,4,4,244
3831,2020-08-13,219,8,2213,2,4,4,244
3846,2020-09-08,193,9,2886,2,4,4,244
3860,2020-05-07,317,9,1169,1,4,3,143
3865,2020-08-13,219,6,2596,2,3,4,234
3878,2020-07-09,254,10,4941,2,4,4,244
3879,2020-07-31,232,6,2077,2,3,4,234
3880,2020-05-10,314,8,2752,1,4,4,144
3894,2020-09-04,197,13,5343,2,4,4,244
3899,2020-09-09,192,8,1458,2,4,3,243
3935,2020-04-05,349,10,2917,1,4,4,144
3952,2020-04-14,340,6,1995,1,3,4,134
3974,2020-06-27,266,10,4097,2,4,4,244
3977,2019-11-08,498,7,1950,1,3,4,134
3986,2020-10-14,157,8,7519,2,4,4,244
3987,2020-09-21,180,7,2112,2,3,4,234
3992,2020-05-13,311,9,3440,1,4,4,144
4015,2020-10-14,157,8,695,2,4,2,242
4021,2020-07-28,235,8,2920,2,4,4,244
